Ref,Val,Package,PosX,PosY,Rot,Side
"B1","","SW_TACT_ALPS_SKQGABE010",23.025000,72.925000,0.000000,top
"B2","","SW_TACT_ALPS_SKQGABE010",17.525000,84.925000,0.000000,top
"B3","","SW_TACT_ALPS_SKQGABE010",17.525000,96.925000,0.000000,top
"B4","","SW_TACT_ALPS_SKQGABE010",28.525000,84.925000,0.000000,top
"B5","","SW_TACT_ALPS_SKQGABE010",28.525000,96.925000,0.000000,top
"B6","","SW_TACT_ALPS_SKQGABE010",39.525000,72.925000,0.000000,top
"B7","","SW_TACT_ALPS_SKQGABE010",39.525000,84.925000,0.000000,top
"B8","","SW_TACT_ALPS_SKQGABE010",39.525000,96.925000,0.000000,top
"B9","","SW_TACT_ALPS_SKQGABE010",50.525000,72.925000,0.000000,top
"B10","","SW_TACT_ALPS_SKQGABE010",50.525000,84.925000,0.000000,top
"B11","","SW_TACT_ALPS_SKQGABE010",50.525000,96.925000,0.000000,top
"B12","","SW_TACT_ALPS_SKQGABE010",61.525000,72.925000,0.000000,top
"B13","","SW_TACT_ALPS_SKQGABE010",61.525000,84.925000,0.000000,top
"B14","","SW_TACT_ALPS_SKQGABE010",61.525000,96.925000,0.000000,top
"B15","","SW_TACT_ALPS_SKQGABE010",72.525000,72.925000,0.000000,top
"B16","","SW_TACT_ALPS_SKQGABE010",72.525000,84.925000,0.000000,top
"B17","","SW_TACT_ALPS_SKQGABE010",72.525000,96.925000,0.000000,top
"B18","","SW_TACT_ALPS_SKQGABE010",17.525000,56.925000,0.000000,top
"B19","","SW_TACT_ALPS_SKQGABE010",17.525000,44.925000,0.000000,top
"B20","","SW_TACT_ALPS_SKQGABE010",17.525000,32.924999,0.000000,top
"B21","","SW_TACT_ALPS_SKQGABE010",17.525000,20.925000,0.000000,top
"B22","","SW_TACT_ALPS_SKQGABE010",39.525000,56.925000,0.000000,top
"B23","","SW_TACT_ALPS_SKQGABE010",39.525000,44.925000,0.000000,top
"B24","","SW_TACT_ALPS_SKQGABE010",39.525000,32.924999,0.000000,top
"B25","","SW_TACT_ALPS_SKQGABE010",39.525000,20.925000,0.000000,top
"B26","","SW_TACT_ALPS_SKQGABE010",50.525000,56.925000,0.000000,top
"B27","","SW_TACT_ALPS_SKQGABE010",50.525000,44.925000,0.000000,top
"B28","","SW_TACT_ALPS_SKQGABE010",50.525000,32.924999,0.000000,top
"B29","","SW_TACT_ALPS_SKQGABE010",50.525000,20.925000,0.000000,top
"B30","","SW_TACT_ALPS_SKQGABE010",61.525000,56.925000,0.000000,top
"B31","","SW_TACT_ALPS_SKQGABE010",61.525000,44.925000,0.000000,top
"B32","","SW_TACT_ALPS_SKQGABE010",61.525000,32.924999,0.000000,top
"B33","","SW_TACT_ALPS_SKQGABE010",61.525000,20.925000,0.000000,top
"B34","","SW_TACT_ALPS_SKQGABE010",72.525000,56.925000,0.000000,top
"B35","","SW_TACT_ALPS_SKQGABE010",72.525000,44.925000,0.000000,top
"B36","","SW_TACT_ALPS_SKQGABE010",72.525000,32.924999,0.000000,top
"B37","","SW_TACT_ALPS_SKQGABE010",72.525000,20.925000,0.000000,top
"Disp","E-Ink","",29.500000,131.925000,0.000000,top
"SOFT1","","SW_TACT_ALPS_SKQGABE010",17.525000,108.925000,0.000000,top
"SOFT2","","SW_TACT_ALPS_SKQGABE010",28.525000,108.925000,0.000000,top
"SOFT3","","SW_TACT_ALPS_SKQGABE010",39.525000,108.925000,0.000000,top
"SOFT4","","SW_TACT_ALPS_SKQGABE010",50.525000,108.925000,0.000000,top
"SOFT5","","SW_TACT_ALPS_SKQGABE010",61.525000,108.925000,0.000000,top
"SOFT6","","SW_TACT_ALPS_SKQGABE010",72.525000,108.925000,0.000000,top
